via,barrio
CL FUENSANTA,TORREAGUERA
CL FUENSANTA,ZENETA
CL FUENTE ALAMO DE MURCIA,JERON.-AVILESES
CL FUENTE BLANCA,MURCIA
CL FUENTE DEL PEDRO-TORREGUI,SANGONERA VERDE
CL FUENTE SAN JOSE,LA CUEVA
CL FULGENCIO MARIN,MURCIA
CL FUNDACION ALZHEIMUR,ESPARRAGAL
CL FUNDADORES,RAMOS LOS
CL FUNDADOR MACIASCOQUE,GUADALUPE
CL FUTBOLISTA ANTONIO RUIZ,GUADALUPE
CL FUTBOL,SANGONERA VERDE
CL F (ZM-SA1),SANTO ANGEL
CL G-1 (ZM-SA1),SANTO ANGEL
CL G-2 (ZM-SA1),SANTO ANGEL
CL GABALDON,ALJUCER
CL GABRIELA FERNANDEZ VAQUER,LOBOSILLO
CL GABRIELA MISTRAL,ESPARRAGAL
CL GABRIEL CELAYA,MURCIA
CL GABRIEL GARCIA MARQUEZ,GUADALUPE
CL GABRIEL LUJAN CABALLERO,EL PALMAR
CL GABRIEL MIRO,MURCIA
CL GABRIEL PINAZO,MURCIA
CL GALATEA,MURCIA
CL GALAXIA,CASILLAS
CL GALDO,MURCIA
CL GALEON,MURCIA
CL GALICIA,MURCIA
CL GALILEA,ALGEZARES
CL GALILEO,MURCIA
CL GALLEGOS,PUENTE TOCINOS
CL GALVEZ,RAAL EL
CL GALVEZ,TORREAGUERA
CL GARCIA ALIX,MURCIA
CL GARCIA CANALES,ALBERCA LA
CL GARCIA LORCA,BENIAJAN
CL GARCIA LORCA (ESPINARDO),MURCIA
CL GARCIA LORCA,SANGONERA SECA
CL GARCIA MARTINEZ,MURCIA
CL GARCIA MORATO,LOBOSILLO
CL GARDENIAS,COBATILLAS
CL GARDENIAS,EL PALMAR
CL GARDENIAS(STA MARIA DE GR,MURCIA
CL GARRUCHAL,SAN JOSE
CL GAUDI,MURCIA
CL GAVACHA,MURCIA
CL GAVIOTA,MURCIA
CL G EDC8 MURCIA,MURCIA
CL GEMINIS,GUADALUPE
CL GENERAL MARGALLO,MURCIA
CL GENERAL MARTIN CARRERA,MURCIA
CL GENERAL MOSCARDO,LOBOSILLO
CL GENERAL MOSCARDO,RAAL EL
CL GENERAL PALAREA,MURCIA
CL GENERAL PRIETO,ALBERCA LA
CL GENERAL PRIM,CABEZO TORRES
CL GENERAL SANJURJO,RAAL EL
CL GENERAL SANMARTIN,MURCIA
CL GENERAL TORRES,CABEZO TORRES
CL GENERAL YAGUE,LOBOSILLO
CL GENERAL YAGUE,MURCIA
CL GERANIOS,CARRASCOY
CL GERANIOS,EL PALMAR
CL GERANIOS,TORREAGUERA
CL GERARDO DIEGO,BENIAJAN
CL GERARDO DIEGO,LAS LUMBRERAS
CL GERARDO DIEGO,ZENETA
CL GIBRALTAR,ALGEZARES
CL GILANDARIO,ALJUCER
CL GINES DE BALIBREA,SANGONERA SECA
CL GINES DE LA NETA,EL PALMAR
CL GINES DE ROCAMORA,MURCIA
CL GIRASOLES,COBATILLAS
CL GIRASOLES,EL PALMAR
CL GIRASOLES,SANGONERA VERDE
CL GLORIA,ALJUCER
CL GLORIA,BARQUEROS
CL GLORIA,CABEZO TORRES
CL GLORIA,CASILLAS
CL GLORIA,COBATILLAS
CL GLORIA,EL PALMAR
CL GLORIA FUERTES,BENIAJAN
CL GLORIA FUERTES,GUADALUPE
CL GLORIA,GARRES LOS
CL GLORIA,JAVALI NUEVO
CL GLORIA LA,ALBERCA LA
CL GLORIA,MURCIA
CL GLORIA,PUENTE TOCINOS
CL GLORIA,RAMOS LOS
CL GLORIA,SAN GINES
CL GLORIA,SUCINA
CL GLORIA,ZENETA
CL G-L PP ZB GT1 GEA Y TRU,GEA Y TRUYOLS
CL G MIRADOR DE AGRIDULCE,GUADALUPE
CL GOMEZ CORTINA,MURCIA
CL GONZALEZ ADALID,MURCIA
CL GONZALEZ CEBRIAN,MURCIA
CL GONZALEZ VALENTIN,LLANO BRUJAS
CL GOYA,ALGEZARES
CL GOYA,CABEZO TORRES
CL GOYA,CHURRA
CL GOYA,MURCIA
CL GOYA,PUENTE TOCINOS
CL GOYA,PUNTAL EL
CL GOYA,RAMOS LOS
CL GOYA,SANGONERA SECA
CL GOYA,SANGONERA VERDE
CL GOYA,SAN JOSE
CL GOYA,ZARANDONA
CL G PP TM 218,CABEZO TORRES
CL G (P.P. ZM-PT3),PUENTE TOCINOS
CL G PP ZU-SU-JA3,JERON.-AVILESES
CL GRACIA,CABEZO TORRES
CL GRACIA,GARRES LOS
CL GRACIA,MURCIA
CL GRACIA,PUNTAL EL
CL GRANADA,ESPINARDO
CL GRANADA,MURCIA
CL GRANADA,SANGONERA VERDE
CL GRANADOS,SUCINA
CL GRANAINA LA,SAN BENITO
CL GRANERO,MURCIA
CL GRANJA,SANGONERA VERDE
CL GRAN PEZ,MURCIA
CL GRAN VIA CARMEN,MURCIA
CL GRAN VIA,RAMOS LOS
CL GRECO,CABEZO TORRES
CL GRECO,MURCIA
CL GRECO,SANGONERA SECA
CL GRECO,SANGONERA VERDE
CL GREGORIO CONESA,ZARANDONA
CL GREGORIO PEREZ RODRIGUEZ,NONDUERMAS
CL GROUCHO MARX,RAMOS LOS
CL GRUPO CONSTITUCION,CORVERA
CL G SECTOR ZB-PM7,EL PALMAR
CL GUADALETE,SANGONERA SECA
CL GUADALQUIVIR,LOBOSILLO
CL GUADALUPE DE EXTREMADURA,GUADALUPE
CL GUERREROS,MURCIA
CL GUILLAMONES,ALJUCER
CL GUSTAVO ADOLFO BECQUER,CHURRA
CL GUSTAVO ADOLFO BECQUER,GUADALUPE
CL GUTIERREZ MELLADO,CABEZO TORRES
CL GUTIERREZ MELLADO,MURCIA
CL GUTIERREZ MELLADO,RAMOS LOS
CL G ZB GP2,GUADALUPE
CL H1,MURCIA
CL H4,MURCIA
CL HACIENDA DEL CURA,JAVALI VIEJO
CL HACIENDA RIQUELME VIAL A,SUCINA
CL HACIENDA RIQUELME VIAL C,SUCINA
CL HACIENDA RIQUELME VIAL D,SUCINA
CL HACIENDA RIQUEL VIAL B,SUCINA
CL HACIEN RIQUELME VIAL PRAL,SUCINA
CL HANNOVER,MONTEAGUDO
CL HERACLITO,GARRES LOS
CL HEREDEROS,DOLORES LOS
CL HERMANOS GOMEZ,MURCIA
CL HERMANOS SERRANO TORTAJAD,MURCIA
CL HERNAN CORTES,CABEZO TORRES
CL HERNAN CORTES,CORVERA
CL HERNAN CORTES,GUADALUPE
CL HERNAN CORTES,RAMOS LOS
CL HERNAN CORTES,SANGONERA VERDE
CL HERNANDEZ MORA,BENIAJAN
CL HERRADURA,MURCIA
CL HERRERIA,SANGONERA VERDE
CL HERRERIA,ZENETA
CL HERRERO FATIGAS,GARRES LOS
CL HERRERO,GARRES LOS
CL HERREROS,ESPARRAGAL
CL HERREROS,PUENTE TOCINOS
CL HERREROS,ZARANDONA
CL HIDALGO,MURCIA
CL HIEDRA,COBATILLAS
CL HIEDRA - TORREGUIL,SANGONERA VERDE
CL HIERBABUENA,COBATILLAS
CL HIERBA BUENA,TORREAGUERA
CL HIGINIO NICOLAS,EL SECANO
CL HIGUERA,CABEZO TORRES
CL HIGUERA,SANGONERA VERDE
CL HIGUERAS,MURCIA
CL HIGUERAS,SAN JOSE
CL HILANDERAS,MURCIA
CL HINOJO,SANGONERA VERDE
CL HINOJOS,SUCINA
CL HISPANIDAD,EL BOJAR
CL HIST JUAN TORRES FONTES,MURCIA
CL HISTORIADOR ANTONIO SOLIS,CABEZO TORRES
CL HISTORIADOR FCO MATEOS,GUADALUPE
CL HITA,ALBERCA LA
CL HOMERO,GARRES LOS
CL HONDA,BARQUEROS
CL HONESTIDAD,ALBERCA LA
CL HORACIO,GARRES LOS
CL HORNO,BARQUEROS
CL HORNO,BENIAJAN
CL HORNO (EL CARMEN),MURCIA
CL HORNO,EL PALMAR
CL HORNO,GUADALUPE
CL HORNO,JAVALI NUEVO
CL HORNO,JERON.-AVILESES
CL HORNO,RAYA LA
CL HORNO,SAN GINES
CL HORNO (STA EULALIA),MURCIA
CL HORNO (STGO Y ZARAICHE),MURCIA
CL HORNO,TORREAGUERA
CL HORTELANOS,MURCIA
CL H PP ZU-SU-JA3,JERON.-AVILESES
CL H SECTOR ZB-PM7,EL PALMAR
CL H UA1 PP ZM-GR3,SAN BENITO
CL HUERTA,CHURRA
CL HUERTA DE MURCIA,RAAL EL
CL HUERTA,EL PALMAR
CL HUERTA,JAVALI NUEVO
CL HUERTA,LLANO BRUJAS
CL HUERTA MURCIA,GUADALUPE
CL HUERTANO ANTONIO TERUEL,ESPINARDO
CL HUERTAS,MURCIA
CL HUERTO,ALGEZARES
CL HUERTO ALIX,SAN BENITO
CL HUERTO CADENAS,MURCIA
CL HUERTO CAPUCHINOS,MURCIA
CL HUERTO DE LOS ORTINES,GUADALUPE
CL HUERTO GAMBIN,MURCIA
CL HUERTO MANU,MURCIA
CL HUERTO,MURCIA
CL HUERTO PICO,BENIAJAN
CL HUERTO POMARES,MURCIA
CL HUERTOS,ALBERCA LA
CL HUERTO,SANGONERA VERDE
CL HUERTO SIMONES,GARRES LOS
CL HUERTOS,MARTINEZ PUERTO
CL HUERTOS,SAN JOSE
CL HUESCA,MURCIA
CL H ZB GP2,GUADALUPE
CL H (ZM-SA1),SANTO ANGEL
CL IGLESIA,ALGEZARES
CL IGLESIA,ALJUCER
CL IGLESIA ALTA,GARRES LOS
CL IGLESIA,CABEZO TORRES
CL IGLESIA,CORVERA
CL IGLESIA,DOLORES LOS
CL IGLESIA,ERA ALTA
CL IGLESIA,GARRES LOS
CL IGLESIA,GEA Y TRUYOLS
CL IGLESIA,JERON.-AVILESES
CL IGLESIA,MONTEAGUDO
CL IGLESIA,SAN BENITO
CL IGLESIA,SANGONERA VERDE
CL IGLESIA,SAN JOSE
CL IGLESIA (STGO Y ZARAICHE),MURCIA
CL IGLESIA,VALLADOLISES
CL IGNACIO DE VILLA,COBATILLAS
CL IGNACIO GALERA MURCIA,ALJUCER
CL IGNACIO MARTIN,MURCIA
CL IGUAZU,ESPARRAGAL
CL ILIADA,GARRES LOS
CL INAZARES,EL PALMAR
CL INAZARES,ESPARRAGAL
CL INDEPENDENCIA,SANGONERA VERDE
CL INDUSTRIA,CASILLAS
CL INDUSTRIA,CHURRA
CL INDUSTRIAL,ERA ALTA
CL INDUSTRIA,MURCIA
CL INDUSTRIA,RAMOS LOS
CL INDUSTRIA,SANGONERA VERDE
CL INDUSTRIA,SANTA CRUZ
CL INDUSTRIA,ZARANDONA
CL INFANCIA,DOLORES LOS
CL INFANTA CRISTINA,ALJUCER
CL INFANTA CRISTINA,CHURRA
CL INFANTA CRISTINA,MURCIA
CL INFANTA CRISTINA,PUENTE TOCINOS
CL INFANTA CRISTINA,SANGONERA VERDE
CL INFANTA ELENA,CABEZO TORRES
CL INFANTA ELENA,GARRES LOS
CL INFANTA ELENA,MURCIA
CL INFANTA ELENA,SANGONERA VERDE
CL INFANTA SOFIA,DOLORES LOS
CL INFANTES,MURCIA
CL ING. ANGEL VAZQUEZ HEREDI,SANTA CRUZ
CL INGENIERO BRYANT,MURCIA
CL INGENIERO MELCHOR LUZON,MURCIA
CL ING JOSE M LOPEZ HDEZ,PUNTAL EL
CL ING JUAN DE LA CIERVA,SAN GINES
CL INIESTAS,MURCIA
CL INMACULADA,GARRES LOS
CL INMACULADA,MURCIA
CL INMACULADA,RAMOS LOS
CL INOCENCIO MESEGUER,ALQUERIAS
CL INSTITUTO,BENIAJAN
CL INVESTIGADORA MARG. SALAS,ALBERCA LA
CL INV MIGUEL MARIN PADILLA,ESPARRAGAL
CL IRENE VILLA,EL PALMAR
CL IRIS,TORREAGUERA
CL ISAAC ALBENIZ,MURCIA
CL ISAAC ALBENIZ,RAMOS LOS
CL ISAAC PERAL,ALGEZARES
CL ISAAC PERAL,BENIAJAN
CL ISAAC PERAL,CABEZO TORRES
CL ISAAC PERAL,EL PALMAR
CL ISAAC PERAL,ESPARRAGAL
CL ISAAC PERAL,MARTINEZ PUERTO
CL ISAAC PERAL,MONTEAGUDO
CL ISAAC PERAL,RAMOS LOS
CL ISAAC PERAL,SANGONERA SECA
CL ISAAC PERAL,SANTO ANGEL
CL ISAAC PERAL,ZARANDONA
CL ISABEL BELLVIS,CORVERA
CL ISABEL CATOLICA,EL PALMAR
CL ISABEL CATOLICA,MURCIA
CL ISABEL II,CABEZO TORRES
CL ISABEL II,MURCIA
CL ISABEL LA CATOLICA,ESPARRAGAL
CL ISABEL MESEGUER GALANT,ALQUERIAS
CL ISABEL NAVARRO,SAN BENITO
CL I SECTOR ZB-PM7,EL PALMAR
CL ISIDORO CIERVA,MURCIA
CL ISIDORO DE LA CIERVA,SANTO ANGEL
CL ISIDOROS,ZARANDONA
CL ISLA CAPRI,ESPARRAGAL
CL ISLA CRISTINA,MURCIA
CL ISLA DE LAS PALOMAS,ESPARRAGAL
CL ISLA DEL BARON,ESPARRAGAL
CL ISLA GROSSA,ESPARRAGAL
CL ISLA MAYOR,ESPARRAGAL
CL ISLA PERDIGUERA,ESPARRAGAL
CL ISLA PLANA,ESPARRAGAL
CL I UA1 PP ZM-DR3,SAN BENITO
CL I (ZM-SA1),SANTO ANGEL
CL JABONERIAS,MURCIA
CL JACARANDA - TORREGUIL,SANGONERA VERDE
CL JACINTO BENAVENTE,ESPARRAGAL
CL JACINTO BENAVENTE,SUCINA
CL JACINTO POLO DE MEDINA,LA CUEVA
CL JACINTOS,EL PALMAR
CL JACOBO LEYES,MURCIA
CL JACOBO RUIZ,ALBERCA LA
CL JACQUES COUSTEAU,JAVALI NUEVO
CL JAIME BALMES,SANGONERA VERDE
CL JAIME I,CABEZO TORRES
CL JAIME VELASCO,BENIAJAN
CL JARA CARRILLO,ALBERCA LA
CL JARA CARRILLO,ALGEZARES
CL JARA CARRILLO,EL PALMAR
CL JARA CARRILLO,MURCIA
CL JARA CARRILLO,PUENTE TOCINOS
CL JARA CARRILLO,PUNTAL EL
CL JARA CARRILLO,TORREAGUERA
CL JARALES,COBATILLAS
CL JARA - TORREGUIL,SANGONERA VERDE
CL JARDIEL PONCELA,MONTEAGUDO
CL JARDIN ALJADA,PUENTE TOCINOS
CL JARDIN,ALJUCER
CL JARDIN DE LOS GERANIOS,ZARANDONA
CL JARDIN DE PONIENTE,GUADALUPE
CL JARDIN DE PONIENTE,JAVALI NUEVO
CL JARDIN,EL SECANO
CL JARDINES,PUNTAL EL
CL JARDIN,JAVALI NUEVO
CL JARDIN LEVANTE,GUADALUPE
CL JARDIN,LLANO BRUJAS
CL JARDIN MURCIA,PUNTAL EL
CL JARDIN,SANGONERA VERDE
CL JARDIN,SAN JOSE
CL JARDIN,TORREAGUERA
CL JAZMIN,ALGEZARES
CL JAZMIN,CHURRA
CL JAZMINES,COBATILLAS
CL JAZMINES,EL PALMAR
CL JAZMINES,MURCIA
CL JAZMIN,MURCIA
CL JAZMIN,PUENTE TOCINOS
CL JAZMIN,SAN BENITO
CL JAZMIN,SANGONERA VERDE
CL JAZMIN,TORREAGUERA
CL JEREZ -UR.AGRIDULCE,GUADALUPE
CL JEROMIN,SAN BENITO
CL JERONIMO GUIJARRO,MURCIA
CL JERONIMO MOLINA GARCIA,SAN BENITO
CL JERONIMO MOLINA,MURCIA
CL JERONIMO RODA,MURCIA
CL JESUS BELANDO,SAN BENITO
CL JESUS ESTEBAN,MURCIA
CL JESUS HERNANDEZ CONESA,ZARANDONA
CL JESUS HURTADO,MURCIA
CL JESUS MONTOYA,CABEZO TORRES
CL JESUS MONTOYA,PUENTE TOCINOS
CL JESUS MORENO,ALJUCER
CL JILGUERO - TORREGUIL,SANGONERA VERDE
CL JIMENEZ BAEZA,MURCIA
CL JOAN MIRO,ESPARRAGAL
CL JOAN MIRO,LAS LUMBRERAS
CL JOAN MIRO,MARTINEZ PUERTO
CL JOAN MIRO,VALLADOLISES
CL JOAQUIN ARDERIUS,LAS LUMBRERAS
CL JOAQUINAS,JERON.-AVILESES
CL JOAQUIN BAGUENA,MURCIA
CL JOAQUIN BLUME,MURCIA
CL JOAQUIN COSTA,ALGEZARES
CL JOAQUIN COSTA,MURCIA
CL JOAQUIN ESTEBAN GUERRERO,MURCIA
CL JONI,TORREAGUERA
CL JORGE GUILLEN,LAS LUMBRERAS
CL JORGE GUILLEN,MURCIA
CL JORGE GUILLEN,SANGONERA SECA
CL JORGE JUAN,MURCIA
CL JORGE MANRIQUE,GUADALUPE
CL JORGE MANRIQUE,MURCIA
CL JOSE ACERO,CASILLAS
CL JOSE ALEGRIA NICOLAS,TORREAGUERA
CL JOSE ANTONIO,ALQUERIAS
CL JOSE ANTONIO,BARQUEROS
CL JOSE ANTONIO CAMACHO,MURCIA
CL JOSE ANTONIO,LLANO BRUJAS
CL JOSE ANTONIO PONZOA,MURCIA
CL JOSE ANTONIO,PUNTAL EL
CL JOSE ANTONIO,RAAL EL
CL JOSE ARCE JIMENEZ,SAN JOSE
CL JOSE ASENSIO MIRO,MURCIA
CL JOSE BALLESTA,VALLADOLISES
CL JOSE BALLESTER,MURCIA
CL JOSE BALSALOBRE,LOBOSILLO
CL JOSE BAUTISTA,MURCIA
CL JOSE CANOVAS PUJANTE,MURCIA
CL JOSE COLAS Y MARIANO FELI,ZARANDONA
CL JOSE CONESA CANO,MURCIA
CL JOSE CORTES LOPEZ,BENIAJAN
CL JOSEFA MARTINEZ,PUENTE TOCINOS
CL JOSE FCO PEREZ SANCHEZ,EL PALMAR
CL JOSEFINA SANZ,ALGEZARES
CL JOSE GIL,CORVERA
CL JOSE HERNANDEZ,MURCIA
CL JOSE HERNANDEZ SANCHEZ,ZARANDONA
CL JOSE HERNANDEZ SASTRE,GUADALUPE
CL JOSE JAVIER,MURCIA
CL JOSE LEAL BARCELO,BENIAJAN
CL JOSELITO,MARTINEZ PUERTO
CL JOSELITO,MURCIA
CL JOSE LOPEZ,SAN BENITO
CL JOSE LUIS BORJA ALARCON,CABEZO TORRES
CL JOSE LUIS MORGA,MURCIA
CL JOSE LUIS PEREZ PALAZON,ALBERCA LA
CL JOSE LUJAN,ALJUCER
CL JOSE LUJAN,EL PALMAR
CL JOSE MALUQUER,MURCIA
CL JOSE MARIA BELANDO,MURCIA
CL JOSE MARIA CONEJERO,MARTINEZ PUERTO
CL JOSE MARIA PEMAN,BENIAJAN
CL JOSE MARIA PEMAN,CABEZO TORRES
CL JOSE MARIA PEMAN,MURCIA
CL JOSE MARIA VELA URREA,GEA Y TRUYOLS
CL JOSE MARIN DE LA CUEVA,SAN JOSE
CL JOSE MARTINEZ GARRE,ALQUERIAS
CL JOSE MARTINEZ MAIQUEZ,ZARANDONA
CL JOSE MARTINEZ MONROY,MONTEAGUDO
CL JOSE MORENO,SAN BENITO
CL JOSE MORENO (STGO EL MAYO,MURCIA
CL JOSE M SERRANO GALVAN,EL PALMAR
CL JOSE NAVARRO,SAN BENITO
CL JOSE ORTIZ GARCIA,BENIAJAN
CL JOSE PARDO,DOLORES LOS
CL JOSE PAREDES,ALBERCA LA
CL JOSE PARRAGA HERNANDEZ,RINCON SECA
CL JOSE PEREZ HERNANDEZ,ALBERCA LA
CL JOSE PEREZ MIRALLES,MURCIA
CL JOSE PLANES,MURCIA
CL JOSE PLANES ORTEGA,PUNTAL EL
CL JOSE RIQUELME CAMPILLO,ALJUCER
CL JOSE RUBIO,CABEZO TORRES
CL JOSE RUBIO GUIRAO,COBATILLAS
CL JOSE SANCHEZ,LOBOSILLO
CL JOSE SARAMAGO,ESPARRAGAL
CL JOSE SELGAS,CABEZO TORRES
CL JOSE SELGAS CARRASCO,LA CUEVA
CL JOSE SELGAS,PUENTE TOCINOS
CL JOSE VALERA,MURCIA
CL JOSE VALERA ROMERO,MURCIA
CL JOSE VIUDES,BENIAJAN
CL JOSE ZORRILLA,ALBERCA LA
CL JOSE ZORRILLA,CABEZO TORRES
CL JOVELLANOS,MURCIA
CL J SECTOR ZB-PM7,EL PALMAR
CL J UA1 PP ZM-DR3,SAN BENITO
CL JUAN AGUILAR AMAT,CHURRA
CL JUAN A. HERNANDEZ AGUILA,MURCIA
CL JUAN ALARCON BORJA,ZARANDONA
CL JUAN ANTONIO GAMBIN COSTA,NONDUERMAS
CL JUAN ANTONIOS LOS,CASILLAS
CL JUAN AYLLON,COBATILLAS
CL JUAN BERASATEGUI,EL PALMAR
CL JUAN BERNAL AROCA,EL PALMAR
CL JUAN BONAFE,ALBERCA LA
CL JUAN BORJA GONZALVEZ,PUNTAL EL
CL JUAN CARLOS I,CABEZO TORRES
CL JUAN CARLOS I,ESPARRAGAL
CL JUAN CARLOS I,SAN GINES
CL JUAN CARLOS I,SANGONERA VERDE
CL JUAN CARLOS I,SUCINA
CL JUAN CIERVA,EL BOJAR
CL JUAN CIERVA,MONTEAGUDO
CL JUAN CIERVA,SANGONERA SECA
CL JUAN CIERVA,SANGONERA VERDE
CL JUAN CIERVA,SANTO ANGEL
CL JUAN DE AUSTRIA,SAN BENITO
CL JUAN DE LA CIERVA,CABEZO TORRES
CL JUAN DE LA CIERVA,GUADALUPE
CL JUAN DE LA CIERVA,RAMOS LOS
CL JUAN DE LA CIERVA,SAN GINES
CL JUAN DE LA CIERVA,SUCINA
CL JUAN DE LA COSA,MURCIA
CL JUAN DIEGO,ALQUERIAS
CL JUAN DIOS,GUADALUPE
CL JUAN FELIX,ZARANDONA
CL JUAN GARCIA ABELLAN,MURCIA
CL JUAN GUERRERO RUIZ,MURCIA
CL JUAN HERRERA,TORREAGUERA
CL JUAN MADRONA,ZARANDONA
CL JUAN MARIN,MURCIA
CL JUAN MARTINEZ PAGAN,MURCIA
CL JUAN MENA,LAS LUMBRERAS
CL JUAN NICOLAS MATEO,PUENTE TOCINOS
CL JUAN NORTES,ALQUERIAS
CL JUAN OLIVARES,SANGONERA VERDE
CL JUAN PABLO I,ESPARRAGAL
CL JUAN PAQUELE,EL SECANO
CL JUAN PELEGRIN TOMAS,BENIAJAN
CL JUAN PEREZ MARIN,SAN JOSE
CL JUAN PINO MARTINEZ,ALQUERIAS
CL JUAN RAMON JIMENEZ,GUADALUPE
CL JUAN RAMON JIMENEZ,MARTINEZ PUERTO
CL JUAN RAMON JIMENEZ,MURCIA
CL JUAN RAMON JIMENEZ,PUENTE TOCINOS
CL JUAN RAMON JIMENEZ,SUCINA
CL JUAN SEBASTIAN EL CANO,GUADALUPE
CL JUAN TENORIO,ALBERCA LA
CL JUAN VALVERDE,ZARANDONA
CL JUAN XXIII,ESPARRAGAL
CL JUAN XXIII,GARRES LOS
CL JUAN XXIII,LLANO BRUJAS
CL JUAN ZAPATA FRANCO,SAN BENITO
CL JULIAN ANDUGAR,ESPARRAGAL
CL JULIAN CALVO,MURCIA
CL JULIAN FERNANDEZ,CORVERA
CL JULIAN GARCIA,VALLADOLISES
CL JULIAN MORENO,MONTEAGUDO
CL JULIAN MORENO TRAVER,MONTEAGUDO
CL JULIAN ROMEA,DOLORES LOS
CL JULIAN ROMEA,NONDUERMAS
CL JULIAN ROMEA,PUNTAL EL
CL JULIAN ROMEA,SAN GINES
CL JULIO CORTAZAR,CHURRA
CL JUMILLA,ESPINARDO
CL JUMILLA,MURCIA
CL JUMILLA -UR.AGRIDULCE,GUADALUPE
CL JUNCO - TORREGUIL,SANGONERA VERDE
CL JUNO (RESID PALMAR 04),EL PALMAR
CL JUNTERONES,MURCIA
CL JUPITER,CABEZO TORRES
CL JUPITER,LLANO BRUJAS
CL JUPITER,MURCIA
CL JUPITER,SANGONERA VERDE
CL JURENAS,SANGONERA VERDE
CL JUSEPE,CHURRA
CL JUSTOS,GEA Y TRUYOLS
CL JUVENTUD,ALQUERIAS
CL JUVENTUD,DOLORES LOS
CL JUVENTUD,JERON.-AVILESES
CL JUVENTUD,SUCINA
CL JUVER ZONA 4B,CHURRA
CL J (ZM-SA1),SANTO ANGEL
CL K SECTOR ZB-PM7,EL PALMAR
CL K UA1 PP ZM-DR3,SAN BENITO
CL LA ALFAYA,SAN BENITO
CL LA ALMAGRAMA,SAN BENITO
CL LABRADORES LOS,SANGONERA VERDE
CL LA CARRETA,GEA Y TRUYOLS
CL LA COTA,SANGONERA VERDE
CL LADERAS,ESPARRAGAL
CL LA DIOSA,CABEZO TORRES
CL LA ERA,JAVALI VIEJO
CL LA FLOTA,MURCIA
CL LAGES,ALGEZARES
CL LA GLORIA,MURCIA
CL LAGRIMAS,GEA Y TRUYOLS
CL LA LLANA,ALBERCA LA
CL LA LUZ,ALQUERIAS
CL LA LUZ,SANTO ANGEL
CL LA MENTA,CASILLAS
CL LA MOTA,ARBOLEJA LA
CL LANZA,TORREAGUERA
CL LA PAZ,SAN GINES
CL LA PAZ,SANGONERA SECA
CL LA PERALEJA VIAL 15,GEA Y TRUYOLS
CL LA PERDIZ,ZARANDONA
CL LA POLACA,ALGEZARES
CL LAREDO,MURCIA
CL LARGA SAN ROQUE,BENIAJAN
CL LA RIBERA,MURCIA
CL LARIS,ESPARRAGAL
CL LA ROJICA,CABEZO TORRES
CL LA SAL,ALBERCA LA
CL LAS ALPUJARRAS,SANGONERA SECA
CL LAS CALDERAS,CASILLAS
CL LA SEDA,ESPARRAGAL
CL LA SIEMBRA,GEA Y TRUYOLS
CL LAS PALMAS,MURCIA
CL LAS PALMERAS,ESPARRAGAL
CL LAS PALMERAS,SAN GINES
CL LAS ZARZAS,ALQUERIAS
CL LA TINAJA,BARRIO PROGRESO
CL LAUREL,ALGEZARES
CL LAUREL,CORVERA
CL LAUREL,EL PALMAR
CL LAURELES,COBATILLAS
CL LAUREL,MURCIA
CL LAUREL,PUNTAL EL
CL LAVANDERA - TORREGUIL,SANGONERA VERDE
CL LA VIA,SAN JOSE
CL LA VIRGEN,SANGONERA VERDE
CL LA YESERA,SANGONERA VERDE
CL LEALES,SAN BENITO
CL LEALTAD,ALQUERIAS
CL LEALTAD,MURCIA
CL LEBREL,MURCIA
CL LEIVA,PUNTAL EL
CL LENTISCO -TORREGUIL,SANGONERA VERDE
CL LEON FELIPE,CHURRA
CL LEON,JERON.-AVILESES
CL LEOPOLDO ALAS,LAS LUMBRERAS
CL LEOPOLDO AUGUSTO DE CUETO,LA CUEVA
CL LEPANTO,ESPINARDO
CL LEPANTO,MURCIA
CL LEVANTE,BENIAJAN
CL LEVANTE,CASILLAS
CL LEVANTE,CHURRA
CL LEVANTE,DOLORES LOS
CL LEVANTE,GARRES LOS
CL LEVANTE,GEA Y TRUYOLS
CL LEVANTE,MURCIA
CL LEVANTE,SANGONERA VERDE
CL LEY DE LA MESTA,EL PALMAR
CL LEYVA,CABEZO TORRES
CL LIBERALES,ZARANDONA
CL LIBERTAD,ALJUCER
CL LIBERTAD,BARQUEROS
CL LIBERTAD,CABEZO TORRES
CL LIBERTAD,CORVERA
CL LIBERTAD DE LA,RAAL EL
CL LIBERTAD,DOLORES LOS
CL LIBERTAD,ESPARRAGAL
CL LIBERTAD,MURCIA
CL LIBERTAD,NONDUERMAS
CL LIBERTAD,PUENTE TOCINOS
CL LIBERTAD,PUNTAL EL
CL LIBERTAD,SANGONERA SECA
CL LIBERTAD,TORREAGUERA
CL LIBRADOS LOS,SANGONERA VERDE
CL LIBRA,SAN GINES
CL LIBRILLA,MURCIA
CL LICORES,EL SECANO
CL LILAS,SUCINA
CL LIMONAR,ESPARRAGAL
CL LIMONAR,GARRES LOS
CL LIMONAR,MURCIA
CL LIMONAR,SANTO ANGEL
CL LIMON,COBATILLAS
CL LIMON,EL PALMAR
CL LIMONEROS,SUCINA
CL LIRIOS,TORREAGUERA
CL LISBOA,VALLADOLISES
CL LITERATO CLARAMONTE,MURCIA
CL LIZAN,CASILLAS
CL LLANOS,MURCIA
CL LO BARQUERO,GEA Y TRUYOLS
CL LOCOMOTORA,CABEZO TORRES
